City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
125,kulhudhuffushi,73,MV,1571140800,68.0,6.6221,73.07,302.11,2.214
126,aykhal,100,RU,1571205600,99.0,65.9451,111.5081,274.949,7.343
127,sayyan,1,YE,1571486400,29.0,15.1718,44.3244,295.341,6.538
128,san patricio,97,PY,1571324400,76.0,-26.9767,-56.8274,299.89,0.39
129,longyearbyen,100,NO,1571259600,98.0,78.2198,15.6349,269.083,2.998
130,yibin,28,CN,1571378400,55.0,28.7658,104.6353,297.343,1.909
131,nikolskoye,52,RU,1571486400,75.0,59.7035,30.7861,285.461,2.695
132,evensk,100,RU,1571194800,74.0,61.9192,159.2359,268.613,6.125
133,gamba,0,CN,1571389200,19.0,28.2785,88.5182,280.569,7.12
134,east london,0,ZA,1571302800,54.0,-33.0153,27.9116,299.319,7.201
135,oktyabrskoye,97,RU,1571119200,50.0,56.7292,85.4429,287.68,5.408
136,borovichi,100,RU,1571281200,96.0,58.389,33.9068,282.145,2.051
137,alice springs,93,AU,1571119200,9.0,-23.6984,133.8813,312.36,7.908
138,saldanha,19,PT,1571324400,66.0,41.4184,-6.5524,291.49,4.448
139,angoram,99,PG,1571454000,40.0,-4.0563,144.0729,307.946,1.144
140,tyazhinskiy,100,RU,1571119200,45.0,56.114,88.5172,288.25,5.203
141,coquimbo,0,CL,1571119200,82.0,-29.9532,-71.3381,287.76,0.809
142,hakkari,73,FI,1571475600,82.0,61.3371,23.7548,281.778,2.903
143,saint george,0,GR,1571227200,26.0,39.4548,22.34,300.453,1.116
144,egvekinot,100,RU,1571119200,92.0,66.3167,-179.1667,270.84,2.513
145,deputatskiy,100,RU,1571356800,96.0,69.3,139.9,267.016,1.574
146,bethel,100,US,1571184000,80.0,60.7922,-161.7559,278.694,3.986
147,clyde river,100,CA,1571119200,73.0,70.4692,-68.5915,272.47,0.923
148,valdivia,5,CL,1571508000,37.0,-39.8142,-73.2459,296.142,1.98
149,nome,95,US,1571162400,72.0,30.0358,-94.4244,302.784,4.77
150,georgetown,69,GY,1571410800,73.0,6.8026,-58.1629,301.89,5.275
151,batticaloa,62,LK,1571205600,51.0,7.7102,81.6924,306.089,1.828
152,chernyshevskiy,100,RU,1571205600,93.0,63.0128,112.4714,276.359,4.73
153,tiksi,100,RU,1571281200,95.0,71.6366,128.8685,267.675,2.389
154,banda aceh,41,ID,1571292000,62.0,5.5577,95.3222,303.424,2.46
155,kruisfontein,0,ZA,1571216400,24.0,-34.0034,24.7314,301.476,2.775
156,cidreira,41,BR,1571421600,85.0,-30.1658,-50.2184,295.763,5.028
157,chambas,3,CU,1571248800,63.0,22.1938,-78.9139,303.5,0.672
158,new norfolk,53,AU,1571194800,31.0,-42.7802,147.0615,289.733,0.62
159,flinders,33,AU,1571119200,85.0,-34.581,150.846,296.98,7.606
160,wasilla,61,US,1571529600,74.0,61.5828,-149.4381,277.736,2.173
161,qaanaaq,100,GL,1571119200,88.0,77.484,-69.3633,266.57,3.954
162,mabaruma,77,GY,1571335200,51.0,8.1986,-59.7817,305.905,2.937
163,atuona,0,PF,1571346000,74.0,-9.8,-139.0334,300.021,8.747
164,port blair,100,IN,1571302800,71.0,11.6667,92.75,302.849,4.429
165,lucapa,46,AO,1571227200,55.0,-8.4196,20.7411,303.433,1.806
166,shihezi,41,CN,1571119200,23.0,44.3,86.0333,293.71,6.937
167,cochrane,23,CL,1571518800,52.0,-47.2541,-72.5732,282.809,3.842
168,lebu,0,ET,1571130000,57.0,8.9611,38.7254,293.2,6.954
169,baicheng,0,CN,1571292000,18.0,45.6099,122.8653,292.014,4.614
